EST Time, PST Time
"11:20AM-11:50AM","08:20AM-08:50AM"
"11:50AM-12:00PM","08:50AM-09:00AM"
"12:00PM-12:20PM","09:00AM-09:20AM"
"12:20PM-12:40PM","09:20AM-09:40AM"
EST Time, PST Time
"01:30PM-02:00PM","10:30AM-11:00AM"
"02:00PM-02:10PM","11:00AM-11:10AM"
"02:10PM-02:30PM","11:10AM-11:30AM"
"02:30PM-02:50PM","11:30AM-11:50AM"
EST Time, PST Time
"03:30PM-04:00PM","12:30PM-01:00PM"
"04:00PM-04:10PM","01:00PM-01:10PM"
"04:10PM-04:30PM","01:10PM-01:30PM"
"04:30PM-04:50PM","01:30PM-01:50PM"
EST Time, PST Time
"05:30PM-06:00PM","02:30PM-03:00PM"
"06:00PM-06:10PM","03:00PM-03:10PM"
"06:10PM-06:30PM","03:10PM-03:30PM"
"06:30PM-06:50PM","03:30PM-03:50PM"
EST Time, PST Time
"07:20PM-07:50PM","04:20PM-04:50PM"
"07:50PM-08:00PM","04:50PM-05:00PM"
"08:00PM-08:20PM","05:00PM-05:20PM"
"08:20PM-08:40PM","05:20PM-05:40PM"
EST Time, PST Time
"11:20AM-11:50AM","08:20AM-08:50AM"
"11:50AM-12:00PM","08:50AM-09:00AM"
"12:00PM-12:20PM","09:00AM-09:20AM"
"12:20PM-12:40PM","09:20AM-09:40AM"
EST Time, PST Time
"01:30PM-02:00PM","10:30AM-11:00AM"
"02:00PM-02:10PM","11:00AM-11:10AM"
"02:10PM-02:30PM","11:10AM-11:30AM"
"02:30PM-02:50PM","11:30AM-11:50AM"
EST Time, PST Time
"03:30PM-04:00PM","12:30PM-01:00PM"
"04:00PM-04:10PM","01:00PM-01:10PM"
"04:10PM-04:30PM","01:10PM-01:30PM"
"04:30PM-04:50PM","01:30PM-01:50PM"
EST Time, PST Time
"05:30PM-06:00PM","02:30PM-03:00PM"
"06:00PM-06:10PM","03:00PM-03:10PM"
"06:10PM-06:30PM","03:10PM-03:30PM"
"06:30PM-06:50PM","03:30PM-03:50PM"
EST Time, PST Time
"07:20PM-07:50PM","04:20PM-04:50PM"
"07:50PM-08:00PM","04:50PM-05:00PM"
"08:00PM-08:20PM","05:00PM-05:20PM"
"08:20PM-08:40PM","05:20PM-05:40PM"
